lr_er_combo,learningRate,explorationRate,playerHandValue,dealerUpCardValue,usableAce,standGamesWon,standTotalGames,standAvgWinRate,hitGamesWon,hitTotalGames,hitAvgWinRate,doubleDownGamesWon,doubleDownTotalGames,doubleDownAvgWinRate,splitGamesWon,splitTotalGames,splitAvgWinRate,joinKey,minBet_bet,minBet_standQvalue,minBet_hitQvalue,minBet_doubleDownQvalue,minBet_splitQvalue,midBet_bet,midBet_standQvalue,midBet_hitQvalue,midBet_doubleDownQvalue,midBet_splitQvalue,maxBet_bet,maxBet_standQvalue,maxBet_hitQvalue,maxBet_doubleDownQvalue,maxBet_splitQvalue
0.05_0.05,0.05,0.05,2,8,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_2_8_False,10,-99999999,0,0,99999999,50,-99999999,0,0,99999999,100,-99999999,0,0,99999999
0.05_0.05,0.05,0.05,2,9,TRUE,0,0,0,0,0,0,0,0,0,365,884,0.413,0.05_0.05_2_9_True,10,-99999999,0,0,80092.768,50,-99999999,0,0,33491.142,100,-99999999,0,0,53105.827
0.05_0.05,0.05,0.05,2,9,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_2_9_False,10,-99999999,0,0,99999999,50,-99999999,0,0,99999999,100,-99999999,0,0,99999999
0.05_0.05,0.05,0.05,2,10,TRUE,0,0,0,0,0,0,0,0,0,1304,3274,0.398,0.05_0.05_2_10_True,10,-99999999,0,0,-1.002,50,-99999999,0,0,-8.716,100,-99999999,0,0,-39.233
0.05_0.05,0.05,0.05,2,10,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_2_10_False,10,-99999999,0,0,99999999,50,-99999999,0,0,99999999,100,-99999999,0,0,99999999
0.05_0.05,0.05,0.05,3,1,TRUE,0,0,0,11,43,0.256,0,0,0,0,0,0,0.05_0.05_3_1_True,10,-99999999,-4.131,0,0,50,-99999999,-9.528,0,0,100,-99999999,-46.688,0,0
0.05_0.05,0.05,0.05,3,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_3_1_False,10,-99999999,0,0,0,50,-99999999,0,0,0,100,-99999999,0,0,0
0.05_0.05,0.05,0.05,3,2,TRUE,0,0,0,23,56,0.411,0,0,0,0,0,0,0.05_0.05_3_2_True,10,-99999999,-1.341,0,0,50,-99999999,-9.552,0,0,100,-99999999,-22.55,0,0
0.05_0.05,0.05,0.05,3,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_3_2_False,10,-99999999,0,0,0,50,-99999999,0,0,0,100,-99999999,0,0,0
0.05_0.05,0.05,0.05,3,3,TRUE,0,0,0,28,75,0.373,0,0,0,0,0,0,0.05_0.05_3_3_True,10,-99999999,-2.624,0,0,50,-99999999,-4.694,0,0,100,-99999999,-10.624,0,0
0.05_0.05,0.05,0.05,3,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_3_3_False,10,-99999999,0,0,0,50,-99999999,0,0,0,100,-99999999,0,0,0
0.05_0.05,0.05,0.05,3,4,TRUE,0,0,0,40,70,0.571,0,0,0,0,0,0,0.05_0.05_3_4_True,10,-99999999,-0.259,0,0,50,-99999999,0.096,0,0,100,-99999999,4.844,0,0
0.05_0.05,0.05,0.05,3,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_3_4_False,10,-99999999,0,0,0,50,-99999999,0,0,0,100,-99999999,0,0,0
0.05_0.05,0.05,0.05,3,5,TRUE,0,0,0,29,58,0.5,0,0,0,0,0,0,0.05_0.05_3_5_True,10,-99999999,0.757,0,0,50,-99999999,-2.507,0,0,100,-99999999,-23.115,0,0
0.05_0.05,0.05,0.05,3,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_3_5_False,10,-99999999,0,0,0,50,-99999999,0,0,0,100,-99999999,0,0,0
0.05_0.05,0.05,0.05,3,6,TRUE,0,0,0,37,76,0.487,0,0,0,0,0,0,0.05_0.05_3_6_True,10,-99999999,-1.682,0,0,50,-99999999,2.589,0,0,100,-99999999,-9.484,0,0
0.05_0.05,0.05,0.05,3,6,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_3_6_False,10,-99999999,0,0,0,50,-99999999,0,0,0,100,-99999999,0,0,0
0.05_0.05,0.05,0.05,3,7,TRUE,0,0,0,23,62,0.371,0,0,0,0,0,0,0.05_0.05_3_7_True,10,-99999999,-2.627,0,0,50,-99999999,-13.679,0,0,100,-99999999,-51.583,0,0
0.05_0.05,0.05,0.05,3,7,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_3_7_False,10,-99999999,0,0,0,50,-99999999,0,0,0,100,-99999999,0,0,0
0.05_0.05,0.05,0.05,3,8,TRUE,0,0,0,20,69,0.29,0,0,0,0,0,0,0.05_0.05_3_8_True,10,-99999999,-4.337,0,0,50,-99999999,-23.343,0,0,100,-99999999,-40.209,0,0
0.05_0.05,0.05,0.05,3,8,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_3_8_False,10,-99999999,0,0,0,50,-99999999,0,0,0,100,-99999999,0,0,0
0.05_0.05,0.05,0.05,3,9,TRUE,0,0,0,17,60,0.283,0,0,0,0,0,0,0.05_0.05_3_9_True,10,-99999999,-3.237,0,0,50,-99999999,-20.973,0,0,100,-99999999,-54.372,0,0
0.05_0.05,0.05,0.05,3,9,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_3_9_False,10,-99999999,0,0,0,50,-99999999,0,0,0,100,-99999999,0,0,0
0.05_0.05,0.05,0.05,3,10,TRUE,0,0,0,82,226,0.363,0,0,0,0,0,0,0.05_0.05_3_10_True,10,-99999999,-5.784,0,0,50,-99999999,-20.659,0,0,100,-99999999,-49.956,0,0
0.05_0.05,0.05,0.05,3,10,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0.05_0.05_3_10_False,10,-99999999,0,0,0,50,-99999999,0,0,0,100,-99999999,0,0,0
0.05_0.05,0.05,0.05,4,1,TRUE,0,0,0,18,57,0.316,0,0,0,0,0,0,0.05_0.05_4_1_True,10,-99999999,-4.812,0,0,50,-99999999,-17.523,0,0,100,-99999999,-41.364,0,0
0.05_0.05,0.05,0.05,4,1,FALSE,0,0,0,73,229,0.319,7,34,0.206,30,108,0.278,0.05_0.05_4_1_False,10,-99999999,-3.223,-6.481,-6.013,50,-99999999,-8.827,-24.633,-24.531,100,-99999999,-13.801,-45.63,-49.065
0.05_0.05,0.05,0.05,4,2,TRUE,0,0,0,28,73,0.384,0,0,0,0,0,0,0.05_0.05_4_2_True,10,-99999999,-2.274,0,0,50,-99999999,-16.306,0,0,100,-99999999,-28.221,0,0
0.05_0.05,0.05,0.05,4,2,FALSE,0,0,0,120,284,0.423,15,44,0.341,64,162,0.395,0.05_0.05_4_2_False,10,-99999999,-3.082,-4.87,-4.892,50,-99999999,-0.765,-19.303,-18.705,100,-99999999,6.32,-33.489,-39.668
0.05_0.05,0.05,0.05,4,3,TRUE,0,0,0,25,71,0.352,0,0,0,0,0,0,0.05_0.05_4_3_True,10,-99999999,0.218,0,0,50,-99999999,-12.95,0,0,100,-99999999,-41.256,0,0
0.05_0.05,0.05,0.05,4,3,FALSE,0,0,0,157,361,0.435,8,29,0.276,74,180,0.411,0.05_0.05_4_3_False,10,-99999999,-2.268,-4.254,-4.974,50,-99999999,9.991,-21.141,-13.971,100,-99999999,-21.38,-26.244,-32.533
0.05_0.05,0.05,0.05,4,4,TRUE,0,0,0,16,63,0.254,0,0,0,0,0,0,0.05_0.05_4_4_True,10,-99999999,-4.908,0,0,50,-99999999,-20.597,0,0,100,-99999999,-25.258,0,0
0.05_0.05,0.05,0.05,4,4,FALSE,0,0,0,126,289,0.436,19,49,0.388,138,296,0.466,0.05_0.05_4_4_False,10,-99999999,-1.43,-3.29,-3.429,50,-99999999,1.436,-12.628,-13.248,100,-99999999,-18.261,-37.099,-41.391
0.05_0.05,0.05,0.05,4,5,TRUE,0,0,0,37,79,0.468,0,0,0,0,0,0,0.05_0.05_4_5_True,10,-99999999,-1.227,0,0,50,-99999999,-10.961,0,0,100,-99999999,-18.158,0,0
0.05_0.05,0.05,0.05,4,5,FALSE,0,0,0,164,356,0.461,8,28,0.286,34,96,0.354,0.05_0.05_4_5_False,10,-99999999,-3.644,-5.158,-5.136,50,-99999999,-2.209,-17.649,-16.206,100,-99999999,-1.421,-14.437,-24.095
0.05_0.05,0.05,0.05,4,6,TRUE,0,0,0,31,66,0.47,0,0,0,0,0,0,0.05_0.05_4_6_True,10,-99999999,-1.798,0,0,50,-99999999,-7.915,0,0,100,-99999999,-13.195,0,0
0.05_0.05,0.05,0.05,4,6,FALSE,0,0,0,114,253,0.451,55,111,0.495,100,222,0.45,0.05_0.05_4_6_False,10,-99999999,-1.913,-2.853,-3.717,50,-99999999,-1.753,-21.581,-17.872,100,-99999999,-29.246,-34.336,-2.643
0.05_0.05,0.05,0.05,4,7,TRUE,0,0,0,36,82,0.439,0,0,0,0,0,0,0.05_0.05_4_7_True,10,-99999999,-2.796,0,0,50,-99999999,-10.168,0,0,100,-99999999,-58.167,0,0
0.05_0.05,0.05,0.05,4,7,FALSE,0,0,0,152,397,0.383,7,33,0.212,21,80,0.262,0.05_0.05_4_7_False,10,-99999999,-0.885,-5.631,-3.984,50,-99999999,-12.746,-25.084,-22.112,100,-99999999,-48.558,-52.982,-39.646
0.05_0.05,0.05,0.05,4,8,TRUE,0,0,0,29,74,0.392,0,0,0,0,0,0,0.05_0.05_4_8_True,10,-99999999,-1.19,0,0,50,-99999999,-10.228,0,0,100,-99999999,-35.341,0,0
0.05_0.05,0.05,0.05,4,8,FALSE,0,0,0,118,310,0.381,17,56,0.304,54,164,0.329,0.05_0.05_4_8_False,10,-99999999,-0.966,-3.421,-3.788,50,-99999999,2.64,-25.035,-25.522,100,-99999999,10.011,-84.005,-52.3
0.05_0.05,0.05,0.05,4,9,TRUE,0,0,0,22,70,0.314,0,0,0,0,0,0,0.05_0.05_4_9_True,10,-99999999,-1.375,0,0,50,-99999999,-20.321,0,0,100,-99999999,-47.997,0,0
0.05_0.05,0.05,0.05,4,9,FALSE,0,0,0,115,356,0.323,5,27,0.185,60,168,0.357,0.05_0.05_4_9_False,10,-99999999,-4.655,-5.301,-4.884,50,-99999999,-18.488,-21.141,-11.706,100,-99999999,-11.825,-50.5,-50.853
0.05_0.05,0.05,0.05,4,10,TRUE,0,0,0,75,255,0.294,0,0,0,0,0,0,0.05_0.05_4_10_True,10,-99999999,-6.641,0,0,50,-99999999,-32.2,0,0,100,-99999999,-50.74,0,0
0.05_0.05,0.05,0.05,4,10,FALSE,0,0,0,433,1541,0.281,11,58,0.19,63,206,0.306,0.05_0.05_4_10_False,10,-99999999,-6.368,-10.117,-6.725,50,-99999999,-20.218,-30.092,-35.52,100,-99999999,-41.021,-74.913,-60.738
0.05_0.05,0.05,0.05,5,1,TRUE,0,0,0,17,48,0.354,0,0,0,0,0,0,0.05_0.05_5_1_True,10,-99999999,-5.22,0,0,50,-99999999,-13.398,0,0,100,-99999999,-11.736,0,0
0.05_0.05,0.05,0.05,5,1,FALSE,0,0,0,186,645,0.288,5,38,0.132,0,0,0,0.05_0.05_5_1_False,10,-99999999,-4.738,-7.509,0,50,-99999999,-29.074,-36.975,0,100,-99999999,-43.316,-58.227,0
0.05_0.05,0.05,0.05,5,2,TRUE,0,0,0,30,74,0.405,0,0,0,0,0,0,0.05_0.05_5_2_True,10,-99999999,-2.167,0,0,50,-99999999,-11.485,0,0,100,-99999999,-22.84,0,0
0.05_0.05,0.05,0.05,5,2,FALSE,0,0,0,311,814,0.382,37,105,0.352,0,0,0,0.05_0.05_5_2_False,10,-99999999,-2.747,-4.731,0,50,-99999999,-23.562,-34.326,0,100,-99999999,-28.636,-76.237,0
0.05_0.05,0.05,0.05,5,3,TRUE,0,0,0,35,81,0.432,0,0,0,0,0,0,0.05_0.05_5_3_True,10,-99999999,-2.442,0,0,50,-99999999,-5.561,0,0,100,-99999999,-16.526,0,0
0.05_0.05,0.05,0.05,5,3,FALSE,0,0,0,354,850,0.416,42,102,0.412,0,0,0,0.05_0.05_5_3_False,10,-99999999,-0.357,-5.201,0,50,-99999999,-0.705,-20.212,0,100,-99999999,-45.115,-61.028,0
0.05_0.05,0.05,0.05,5,4,TRUE,0,0,0,33,78,0.423,0,0,0,0,0,0,0.05_0.05_5_4_True,10,-99999999,-2.301,0,0,50,-99999999,-11.97,0,0,100,-99999999,-20.748,0,0
0.05_0.05,0.05,0.05,5,4,FALSE,0,0,0,375,875,0.429,18,55,0.327,0,0,0,0.05_0.05_5_4_False,10,-99999999,1.451,-5.572,0,50,-99999999,-6.519,-21.479,0,100,-99999999,12.094,-43.963,0
0.05_0.05,0.05,0.05,5,5,TRUE,0,0,0,29,62,0.468,0,0,0,0,0,0,0.05_0.05_5_5_True,10,-99999999,-1.428,0,0,50,-99999999,-3.535,0,0,100,-99999999,-24.474,0,0
0.05_0.05,0.05,0.05,5,5,FALSE,0,0,0,396,827,0.479,52,116,0.448,0,0,0,0.05_0.05_5_5_False,10,-99999999,2.143,-5.837,0,50,-99999999,9.863,-16.579,0,100,-99999999,30.512,-37.296,0
0.05_0.05,0.05,0.05,5,6,TRUE,0,0,0,21,55,0.382,0,0,0,0,0,0,0.05_0.05_5_6_True,10,-99999999,-2.778,0,0,50,-99999999,-5.826,0,0,100,-99999999,-13.893,0,0
0.05_0.05,0.05,0.05,5,6,FALSE,0,0,0,410,898,0.457,22,60,0.367,0,0,0,0.05_0.05_5_6_False,10,-99999999,-0.909,-4.563,0,50,-99999999,-3.667,-20.856,0,100,-99999999,-21.317,-44.042,0
0.05_0.05,0.05,0.05,5,7,TRUE,0,0,0,28,71,0.394,0,0,0,0,0,0,0.05_0.05_5_7_True,10,-99999999,-2.545,0,0,50,-99999999,-12.127,0,0,100,-99999999,-28.289,0,0
0.05_0.05,0.05,0.05,5,7,FALSE,0,0,0,356,914,0.389,12,46,0.261,0,0,0,0.05_0.05_5_7_False,10,-99999999,0.04,-4.033,0,50,-99999999,-9.289,-29.96,0,100,-99999999,-1.286,-61.512,0
0.05_0.05,0.05,0.05,5,8,TRUE,0,0,0,22,59,0.373,0,0,0,0,0,0,0.05_0.05_5_8_True,10,-99999999,-3.105,0,0,50,-99999999,-10.877,0,0,100,-99999999,-51.43,0,0
0.05_0.05,0.05,0.05,5,8,FALSE,0,0,0,319,870,0.367,17,59,0.288,0,0,0,0.05_0.05_5_8_False,10,-99999999,-0.117,-6.508,0,50,-99999999,-6.922,-36.87,0,100,-99999999,-19.168,-55.591,0
0.05_0.05,0.05,0.05,5,9,TRUE,0,0,0,28,77,0.364,0,0,0,0,0,0,0.05_0.05_5_9_True,10,-99999999,-2.466,0,0,50,-99999999,-18.391,0,0,100,-99999999,-17.284,0,0
0.05_0.05,0.05,0.05,5,9,FALSE,0,0,0,283,908,0.312,12,50,0.24,0,0,0,0.05_0.05_5_9_False,10,-99999999,-2.912,-6.379,0,50,-99999999,-12.694,-29.029,0,100,-99999999,-41.513,-66.183,0
0.05_0.05,0.05,0.05,5,10,TRUE,0,0,0,89,253,0.352,0,0,0,0,0,0,0.05_0.05_5_10_True,10,-99999999,-5.301,0,0,50,-99999999,-16.082,0,0,100,-99999999,-72.352,0,0
0.05_0.05,0.05,0.05,5,10,FALSE,0,0,0,1028,3441,0.299,21,88,0.239,0,0,0,0.05_0.05_5_10_False,10,-99999999,-0.816,-6.794,0,50,-99999999,-19.961,-50.15,0,100,-99999999,-16.673,-71.215,0
0.05_0.05,0.05,0.05,6,1,TRUE,0,0,0,12,41,0.293,0,0,0,0,0,0,0.05_0.05_6_1_True,10,-99999999,-4.013,0,0,50,-99999999,-25.617,0,0,100,-99999999,-21.511,0,0
0.05_0.05,0.05,0.05,6,1,FALSE,0,0,0,207,778,0.266,6,41,0.146,79,260,0.304,0.05_0.05_6_1_False,10,-99999999,-4.303,-6.967,-5.379,50,-99999999,-16.621,-33.109,-29.026,100,-99999999,-24.72,-81.059,-77.952
0.05_0.05,0.05,0.05,6,2,TRUE,0,0,0,29,90,0.322,0,0,0,0,0,0,0.05_0.05_6_2_True,10,-99999999,-2.784,0,0,50,-99999999,-10.436,0,0,100,-99999999,-41.014,0,0
0.05_0.05,0.05,0.05,6,2,FALSE,0,0,0,482,1192,0.404,32,94,0.34,38,132,0.288,0.05_0.05_6_2_False,10,-99999999,-0.153,-6.041,-5.646,50,-99999999,-11.029,-35.636,-31.761,100,-99999999,9.024,-64.183,-52.745
0.05_0.05,0.05,0.05,6,3,TRUE,0,0,0,31,77,0.403,0,0,0,0,0,0,0.05_0.05_6_3_True,10,-99999999,-1.714,0,0,50,-99999999,-12.915,0,0,100,-99999999,-37.49,0,0
0.05_0.05,0.05,0.05,6,3,FALSE,0,0,0,444,1066,0.417,82,181,0.453,156,336,0.464,0.05_0.05_6_3_False,10,-99999999,-0.384,-6.208,-2.451,50,-99999999,-6.457,-14.307,-19.307,100,-99999999,-1.379,-39.7,-36.337
0.05_0.05,0.05,0.05,6,4,TRUE,0,0,0,32,74,0.432,0,0,0,0,0,0,0.05_0.05_6_4_True,10,-99999999,-2.063,0,0,50,-99999999,1.137,0,0,100,-99999999,-21.463,0,0
0.05_0.05,0.05,0.05,6,4,FALSE,0,0,0,522,1197,0.436,35,91,0.385,20,74,0.27,0.05_0.05_6_4_False,10,-99999999,-2.112,-5.771,-3.622,50,-99999999,-4.831,-21.718,-18.422,100,-99999999,7.221,-54.116,-57.362
0.05_0.05,0.05,0.05,6,5,TRUE,0,0,0,32,71,0.451,0,0,0,0,0,0,0.05_0.05_6_5_True,10,-99999999,-1.98,0,0,50,-99999999,-1.438,0,0,100,-99999999,-36.643,0,0
0.05_0.05,0.05,0.05,6,5,FALSE,0,0,0,492,1135,0.433,93,215,0.433,68,174,0.391,0.05_0.05_6_5_False,10,-99999999,-2.824,-3.799,-4.017,50,-99999999,-3.671,-28.935,-28.649,100,-99999999,-16.042,-52.681,-38.319
0.05_0.05,0.05,0.05,6,6,TRUE,0,0,0,31,69,0.449,0,0,0,0,0,0,0.05_0.05_6_6_True,10,-99999999,0.481,0,0,50,-99999999,-5.92,0,0,100,-99999999,-26.253,0,0
0.05_0.05,0.05,0.05,6,6,FALSE,0,0,0,512,1095,0.468,33,89,0.371,221,424,0.521,0.05_0.05_6_6_False,10,-99999999,-0.598,-4.646,-2.271,50,-99999999,1.492,-19.175,19.215,100,-99999999,4.516,-70.812,-32.869
0.05_0.05,0.05,0.05,6,7,TRUE,0,0,0,24,52,0.462,0,0,0,0,0,0,0.05_0.05_6_7_True,10,-99999999,-2.486,0,0,50,-99999999,-7.616,0,0,100,-99999999,-29.025,0,0
0.05_0.05,0.05,0.05,6,7,FALSE,0,0,0,437,1212,0.361,15,59,0.254,85,232,0.366,0.05_0.05_6_7_False,10,-99999999,-2.463,-7.439,-5.562,50,-99999999,-12.528,-33.098,-19.078,100,-99999999,-26.249,-52.422,-37.33
0.05_0.05,0.05,0.05,6,8,TRUE,0,0,0,32,74,0.432,0,0,0,0,0,0,0.05_0.05_6_8_True,10,-99999999,-1.845,0,0,50,-99999999,-18.979,0,0,100,-99999999,-15.579,0,0
0.05_0.05,0.05,0.05,6,8,FALSE,0,0,0,364,1181,0.308,14,60,0.233,89,268,0.332,0.05_0.05_6_8_False,10,-99999999,-2.486,-7.252,-5.253,50,-99999999,-26.728,-34.375,-21.989,100,-99999999,-26.806,-82.046,-61.024
0.05_0.05,0.05,0.05,6,9,TRUE,0,0,0,16,56,0.286,0,0,0,0,0,0,0.05_0.05_6_9_True,10,-99999999,-3.393,0,0,50,-99999999,-14.344,0,0,100,-99999999,-27.439,0,0
0.05_0.05,0.05,0.05,6,9,FALSE,0,0,0,428,1337,0.32,3,38,0.079,34,134,0.254,0.05_0.05_6_9_False,10,-99999999,-2.015,-7.477,-6.479,50,-99999999,-25.238,-43.661,-32.205,100,-99999999,-15.033,-79.606,-68.993
0.05_0.05,0.05,0.05,6,10,TRUE,0,0,0,81,292,0.277,0,0,0,0,0,0,0.05_0.05_6_10_True,10,-99999999,-4.302,0,0,50,-99999999,-22.985,0,0,100,-99999999,-61.119,0,0
0.05_0.05,0.05,0.05,6,10,FALSE,0,0,0,1463,4992,0.293,18,99,0.182,81,248,0.327,0.05_0.05_6_10_False,10,-99999999,-1.11,-9.921,-6.955,50,-99999999,-20.579,-50.841,-31.664,100,-99999999,-61.235,-104.881,-60.65
0.05_0.05,0.05,0.05,7,1,TRUE,0,0,0,12,38,0.316,0,0,0,0,0,0,0.05_0.05_7_1_True,10,-99999999,-2.336,0,0,50,-99999999,-14.52,0,0,100,-99999999,-19.33,0,0
0.05_0.05,0.05,0.05,7,1,FALSE,0,0,0,366,1354,0.27,6,48,0.125,0,0,0,0.05_0.05_7_1_False,10,-99999999,-5.931,-9.828,0,50,-99999999,-25.083,-41.056,0,100,-99999999,-39.593,-66.955,0
0.05_0.05,0.05,0.05,7,2,TRUE,0,0,0,27,76,0.355,0,0,0,0,0,0,0.05_0.05_7_2_True,10,-99999999,-4.394,0,0,50,-99999999,-23.581,0,0,100,-99999999,-6.936,0,0
0.05_0.05,0.05,0.05,7,2,FALSE,0,0,0,688,1764,0.39,57,149,0.383,0,0,0,0.05_0.05_7_2_False,10,-99999999,-1.505,-6.513,0,50,-99999999,-5.024,-29.97,0,100,-99999999,25.035,-60.276,0
0.05_0.05,0.05,0.05,7,3,TRUE,0,0,0,43,93,0.462,0,0,0,0,0,0,0.05_0.05_7_3_True,10,-99999999,-3.304,0,0,50,-99999999,-8.05,0,0,100,-99999999,8.811,0,0
0.05_0.05,0.05,0.05,7,3,FALSE,0,0,0,815,1858,0.439,17,61,0.279,0,0,0,0.05_0.05_7_3_False,10,-99999999,-1.93,-5.998,0,50,-99999999,-1.187,-22.308,0,100,-99999999,-12.708,-50.843,0
0.05_0.05,0.05,0.05,7,4,TRUE,0,0,0,42,75,0.56,0,0,0,0,0,0,0.05_0.05_7_4_True,10,-99999999,0.671,0,0,50,-99999999,5.623,0,0,100,-99999999,-11.422,0,0
0.05_0.05,0.05,0.05,7,4,FALSE,0,0,0,774,1749,0.443,67,156,0.429,0,0,0,0.05_0.05_7_4_False,10,-99999999,-0.608,-5.676,0,50,-99999999,7.568,-20.069,0,100,-99999999,-28.165,-54.855,0
0.05_0.05,0.05,0.05,7,5,TRUE,0,0,0,27,71,0.38,0,0,0,0,0,0,0.05_0.05_7_5_True,10,-99999999,-0.422,0,0,50,-99999999,-22.104,0,0,100,-99999999,-27.677,0,0
0.05_0.05,0.05,0.05,7,5,FALSE,0,0,0,853,1818,0.469,50,114,0.439,0,0,0,0.05_0.05_7_5_False,10,-99999999,-1.155,-3.121,0,50,-99999999,2,-22.819,0,100,-99999999,-4.311,-33.626,0
0.05_0.05,0.05,0.05,7,6,TRUE,0,0,0,31,62,0.5,0,0,0,0,0,0,0.05_0.05_7_6_True,10,-99999999,-1.329,0,0,50,-99999999,-15.946,0,0,100,-99999999,3.308,0,0
0.05_0.05,0.05,0.05,7,6,FALSE,0,0,0,836,1821,0.459,63,149,0.423,0,0,0,0.05_0.05_7_6_False,10,-99999999,1.302,-6.301,0,50,-99999999,13.971,-24.142,0,100,-99999999,-24.972,-46.211,0
0.05_0.05,0.05,0.05,7,7,TRUE,0,0,0,34,88,0.386,0,0,0,0,0,0,0.05_0.05_7_7_True,10,-99999999,-3.11,0,0,50,-99999999,-26.285,0,0,100,-99999999,-25.063,0,0
0.05_0.05,0.05,0.05,7,7,FALSE,0,0,0,730,1936,0.377,15,62,0.242,0,0,0,0.05_0.05_7_7_False,10,-99999999,0.126,-5.924,0,50,-99999999,-8.803,-31.653,0,100,-99999999,20.582,-33.405,0
